,age,games,games_starts,minutes,cards_yellow,cards_red,minutes_90s,goals,shots,shots_free_kicks,passes_completed,passes,passes_total_distance,passes_progressive_distance,passes_short,passes_medium,passes_long,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,tackles,tackles_won,dribble_tackles,dribbled_past,blocks,interceptions,clearances,errors,touches,touches_live_ball,dribbles,miscontrols,dispossessed,passes_received,fouls,fouled,ball_recoveries,aerials_won,aerials_lost,n_injuries,n_severe_injuries,currently_injured,position_DF,position_FW,position_GK,position_MF
0,29.273972602739725,14.0,14.0,1260.0,0.0,0.0,14.0,0.0,0.0,0.0,462.0,524.0,10806.0,7006.0,101.0,260.0,163.0,445.0,79.0,16.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,547.0,547.0,0.0,0.0,0.0,345.0,0.0,2.0,19.0,3.0,0.0,6,0,0,0,0,1,0
1,25.534246575342465,12.0,9.0,873.0,0.0,0.0,9.7,0.0,5.0,0.0,830.0,900.0,14982.0,5430.0,313.0,506.0,64.0,873.0,27.0,17.0,0.0,3.0,0.0,0.0,6.0,3.0,1.0,0.0,9.0,12.0,24.0,0.0,972.0,972.0,3.0,0.0,0.0,762.0,10.0,3.0,41.0,26.0,13.0,4,0,0,1,0,0,0
2,28.4986301369863,4.0,3.0,286.0,0.0,0.0,3.2,0.0,7.0,0.0,226.0,250.0,3795.0,1095.0,110.0,116.0,17.0,245.0,5.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,5.0,1.0,10.0,1.0,279.0,279.0,2.0,1.0,0.0,216.0,0.0,2.0,11.0,11.0,4.0,14,4,0,1,0,0,0
3,28.495890410958904,9.0,8.0,731.0,1.0,0.0,8.1,0.0,5.0,0.0,605.0,642.0,10342.0,2534.0,286.0,295.0,47.0,613.0,28.0,4.0,0.0,5.0,2.0,1.0,9.0,7.0,1.0,0.0,5.0,3.0,11.0,0.0,686.0,686.0,5.0,3.0,1.0,541.0,3.0,3.0,37.0,10.0,6.0,15,1,0,1,0,0,0
4,27.767123287671232,8.0,7.0,571.0,0.0,0.0,6.3,0.0,3.0,0.0,574.0,617.0,9708.0,3852.0,265.0,304.0,35.0,598.0,18.0,4.0,0.0,5.0,2.0,0.0,5.0,3.0,4.0,1.0,6.0,5.0,6.0,0.0,648.0,648.0,0.0,3.0,0.0,538.0,2.0,4.0,24.0,13.0,10.0,10,1,0,1,0,0,0
5,27.353424657534248,8.0,8.0,701.0,1.0,0.0,7.8,0.0,9.0,0.0,575.0,609.0,9758.0,2830.0,271.0,286.0,38.0,596.0,13.0,4.0,0.0,5.0,0.0,0.0,13.0,9.0,11.0,2.0,9.0,5.0,8.0,0.0,676.0,676.0,4.0,4.0,2.0,531.0,8.0,3.0,40.0,7.0,16.0,15,1,0,1,0,0,0
6,22.224657534246575,5.0,0.0,111.0,0.0,0.0,1.2,0.0,2.0,0.0,72.0,88.0,1166.0,315.0,38.0,35.0,6.0,77.0,11.0,3.0,0.0,0.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0,0.0,103.0,103.0,0.0,3.0,2.0,75.0,0.0,0.0,5.0,1.0,2.0,1,0,0,1,0,0,1
7,28.4986301369863,14.0,14.0,1116.0,3.0,1.0,12.4,2.0,15.0,0.0,929.0,1083.0,15066.0,3872.0,549.0,377.0,114.0,990.0,92.0,20.0,2.0,13.0,39.0,0.0,28.0,20.0,17.0,6.0,5.0,17.0,6.0,1.0,1188.0,1188.0,46.0,15.0,12.0,892.0,10.0,14.0,75.0,24.0,10.0,7,0,0,1,0,0,0
8,32.49589041095891,7.0,7.0,560.0,0.0,0.0,6.2,0.0,1.0,0.0,545.0,608.0,9624.0,2775.0,260.0,252.0,81.0,570.0,38.0,6.0,0.0,8.0,4.0,0.0,2.0,1.0,0.0,4.0,1.0,4.0,5.0,0.0,629.0,629.0,4.0,1.0,2.0,513.0,2.0,3.0,31.0,7.0,2.0,13,2,0,1,0,0,0
9,26.427397260273974,13.0,13.0,1122.0,1.0,0.0,12.5,0.0,20.0,0.0,1097.0,1206.0,20044.0,5082.0,486.0,552.0,142.0,1188.0,18.0,14.0,0.0,14.0,2.0,0.0,26.0,18.0,11.0,7.0,18.0,14.0,14.0,0.0,1316.0,1316.0,10.0,8.0,5.0,1004.0,18.0,7.0,119.0,35.0,15.0,2,0,0,0,0,0,1
11,22.495890410958904,14.0,11.0,908.0,1.0,0.0,10.1,7.0,27.0,0.0,465.0,575.0,7090.0,1306.0,302.0,163.0,63.0,543.0,28.0,3.0,2.0,4.0,53.0,21.0,10.0,5.0,6.0,2.0,12.0,3.0,4.0,0.0,676.0,676.0,26.0,19.0,14.0,544.0,4.0,12.0,54.0,9.0,17.0,3,0,0,1,1,0,0
